  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   20    0   81.82  90.00    18     22   20      1     18    18   100.00
   2   20    0   90.91  95.24    20     22   21      0     18    18   100.00
   3   20    0   72.73  76.19    16     22   21      4     18    18   100.00
   4   20    0   77.27  85.00    17     22   20      2     18    18   100.00
   5   20    0   81.82  85.71    18     22   21      2     18    18   100.00
   6   20    0   77.27  85.00    17     22   20      2     18    17    94.44
   7   20    0   77.27  80.95    17     22   21      3     18    18   100.00
   8   20    0   77.27  80.95    17     22   21      3     18    18   100.00
   9   25    0   90.91  90.91    20     22   22      2     19    18    94.74
  10   25    0   90.91  90.91    20     22   22      2     19    18    94.74
  11   25    0   90.91  90.91    20     22   22      2     19    18    94.74
  12   25    0   86.36  86.36    19     22   22      2     19    18    94.74
  13   25    0   86.36  86.36    19     22   22      2     19    18    94.74
  14   25    0   90.91  90.91    20     22   22      2     19    18    94.74
  15   25    0   86.36  86.36    19     22   22      2     19    18    94.74
  16   25    0   90.91  90.91    20     22   22      2     19    18    94.74
  17   41    0   63.64  58.33    21     33   36     10     36    31    86.11
  18   41    0   57.58  52.78    19     33   36     12     36    27    75.00
  19   41    0   48.48  50.00    16     33   32     11     36    26    72.22
  20   41    0   75.76  78.12    25     33   32      4     36    35    97.22
  21   35    0   68.00  80.95    17     25   21      4     34    28    82.35
  22   35    0   68.00  73.91    17     25   23      4     34    27    79.41
  23   35    0   72.00  75.00    18     25   24      3     34    29    85.29
  24   35    0   72.00  85.71    18     25   21      3     34    29    85.29
  25   35    0   84.00  84.00    21     25   25      2     34    29    85.29
  26   35    0   84.00  84.00    21     25   25      2     34    29    85.29
  27   18    0   68.75  78.57    11     16   14      0     14    11    78.57
  28   18    0   62.50  76.92    10     16   13      0     14     9    64.29
  29   18    0   68.75  78.57    11     16   14      0     14    11    78.57
  30   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  31   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  32   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  33   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  34   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  35   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  36   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  37   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  38   18    0   78.57  84.62    11     14   13      1     16    15    93.75
  39    2    0  100.00 100.00     1      1    1      0      2     2   100.00
  40    2    0  100.00 100.00     1      1    1      0      2     2   100.00
  41    2    0  100.00 100.00     1      1    1      0      2     2   100.00
